timestamp,episode,step,total_steps,action,action_name,reward,cumulative_reward,pid_targeted,process_name,threat_score,is_ransomware,ransomware_confidence,is_critical,process_killed,snapshot_taken,episode_total_kills,episode_total_snapshots,episode_critical_kills,episode_ransomware_detected,done
2025-11-17 14:23:44.628,1,1,1,2,Kill,-20.0,-20.0,2523,code-oss,0.6323,0,0.3,0,1,0,0,0,1,0,0
2025-11-17 14:23:45.474,1,2,2,2,Kill,-2.0,-22.0,5,kworker/R-rcu_g,0.0108,0,0.0,1,0,0,1,0,1,0,0
2025-11-17 14:23:46.421,1,3,3,1,Ignore,-0.05,-22.05,18,rcu_preempt,0.0108,0,0.0,0,0,0,1,0,1,0,0
2025-11-17 14:23:48.834,1,4,4,0,Monitor,0.1,-21.95,31,kworker/u4:2-ex,0.0108,0,0.0,1,0,0,1,0,1,0,0
2025-11-17 14:23:50.758,1,5,5,3,Snapshot,-1.0,-22.95,44,kswapd0,0.0292,0,0.0,0,0,1,1,0,1,0,0
2025-11-17 14:23:52.898,1,6,6,0,Monitor,0.1,-22.85,119,kworker/u4:4-ev,0.0104,0,0.0,1,0,0,1,0,1,0,0
2025-11-17 14:23:54.806,1,7,7,3,Snapshot,-1.0,-23.85,529,dbus-daemon,0.1635,0,0.0,1,0,1,1,0,1,0,0
2025-11-17 14:23:55.924,1,8,8,3,Snapshot,-1.0,-24.85,531,polkitd,0.1598,0,0.0,1,0,1,1,0,1,0,0
2025-11-17 14:23:56.807,1,9,9,3,Snapshot,-1.0,-25.85,1209,wpa_supplicant,0.1781,0,0.0,0,0,1,1,0,1,0,0
2025-11-17 14:23:57.650,1,10,10,2,Kill,-20.0,-45.85,1275,Xorg,0.2176,0,0.0,0,1,0,1,0,2,0,0
2025-11-17 14:23:58.682,1,11,11,2,Kill,-2.0,-47.85,1431,dbus-daemon,0.1777,0,0.0,1,0,0,2,0,2,0,0
2025-11-17 14:23:59.567,1,12,12,0,Monitor,0.1,-47.75,1517,gnome-shell,0.2415,0,0.1,0,0,0,2,0,2,0,0
2025-11-17 14:24:00.507,1,13,13,3,Snapshot,-1.0,-48.75,1596,fusermount3,0.177,0,0.0,0,0,1,2,0,2,0,0
2025-11-17 14:24:01.379,1,14,14,0,Monitor,0.1,-48.65,1653,evolution-alarm,0.159,0,0.0,0,0,0,2,0,2,0,0
2025-11-17 14:24:02.218,1,15,15,1,Ignore,-0.05,-48.7,1691,gsd-disk-utilit,0.161,0,0.0,0,0,0,2,0,2,0,0
2025-11-17 14:24:03.051,1,16,16,1,Ignore,-0.05,-48.75,1918,gvfs-udisks2-vo,0.1654,0,0.0,0,0,0,2,0,2,0,0
2025-11-17 14:24:04.565,1,17,17,1,Ignore,-0.05,-48.8,2112,gvfsd-recent,0.1765,0,0.0,0,0,0,2,0,2,0,0
2025-11-17 14:24:05.332,1,18,18,2,Kill,-2.0,-50.8,2492,code-oss,0.2605,0,0.1,0,1,0,3,0,2,0,0
2025-11-17 14:24:06.342,1,19,19,0,Monitor,0.1,-50.7,2585,code-oss,0.2686,0,0.1,0,0,0,3,0,2,0,0
2025-11-17 14:24:07.185,1,20,20,3,Snapshot,-1.0,-51.7,2523,code-oss,0.5999,0,0.3,0,0,1,3,0,2,0,0
2025-11-17 14:24:08.068,1,21,21,0,Monitor,0.1,-51.6,5,kworker/R-rcu_g,0.0112,0,0.0,1,0,0,3,0,2,0,0
2025-11-17 14:24:08.915,1,22,22,2,Kill,-20.0,-71.6,19,rcu_exp_par_gp_,0.0112,0,0.0,0,1,0,3,0,3,0,0
2025-11-17 14:24:09.746,1,23,23,2,Kill,-20.0,-91.6,31,kworker/u4:2-fl,0.0108,0,0.0,1,0,0,3,0,4,0,0
2025-11-17 14:24:10.588,1,24,24,1,Ignore,-0.05,-91.65,41,kworker/R-edac-,0.0108,0,0.0,1,0,0,3,0,4,0,0
2025-11-17 14:24:11.413,1,25,25,0,Monitor,0.1,-91.55,119,kworker/u4:4-wr,0.0108,0,0.0,1,0,0,3,0,4,0,0
